Niveau,Methode_ML,ML_Score,IF_Score,AE_ReconError,IF_Severity,AE_Severity,ML_Severity,Jour,Ticker
Instrument,IF+AE,46.8,0.774859590770908,0.01226066982421892,Critique,Modéré,Faible,2025-07-09,EQD
Instrument,IF+AE,46.8,0.7774875026536157,0.0062786734282701435,Critique,Faible,Faible,2025-08-06,SNA
Instrument,IF+AE,46.8,0.7773543536912557,0.004430261630590405,Critique,Faible,Faible,2025-03-21,STR
Instrument,IF+AE,46.7,0.7745655670282361,0.01067718819959741,Critique,Modéré,Faible,2025-03-19,STR
Instrument,IF+AE,46.6,0.7734946277290309,0.007689465418942621,Critique,Faible,Faible,2025-02-10,MOX
Instrument,IF+AE,46.6,0.7741108254355521,0.004507301809443236,Critique,Faible,Faible,2025-04-03,SRM
Instrument,IF+AE,46.5,0.7727866103582377,0.006279772712297855,Critique,Faible,Faible,2025-03-12,FBR
Instrument,IF+AE,46.5,0.7628695958401439,0.028715377987952904,Critique,Critique,Faible,2025-04-03,CTM
Instrument,IF+AE,46.5,0.7689546692778891,0.013711182466550205,Critique,Modéré,Faible,2025-08-15,NKL
Instrument,IF+AE,46.4,0.7613970506633855,0.02818108687425906,Critique,Critique,Faible,2025-02-03,MOX
Instrument,IF+AE,46.3,0.766847980624214,0.009709209575843543,Critique,Faible,Faible,2025-10-16,STR
Instrument,IF+AE,46.2,0.7668892088211079,0.007697258911219584,Critique,Faible,Faible,2025-08-22,NKL
Instrument,IF+AE,46.1,0.7578183089831314,0.02627700458783056,Critique,Critique,Faible,2025-01-08,RDS
Instrument,IF+AE,46.1,0.7665468383484493,0.004557010192648728,Critique,Faible,Faible,2025-04-10,SNA
Instrument,IF+AE,46.1,0.7219669153270525,0.10679856983366082,Critique,Critique,Faible,2025-07-18,INV
Instrument,IF+AE,46.0,0.7639820499625309,0.00533565825675895,Critique,Faible,Faible,2025-10-02,STR
Instrument,IF+AE,46.0,0.7506772917004066,0.039371315943254784,Critique,Critique,Faible,2025-07-01,SRM
Instrument,IF+AE,45.9,0.7633465007968384,0.004554315213961322,Critique,Faible,Faible,2025-08-12,DYT
Instrument,IF+AE,45.9,0.7647089345882667,0.0004150877328112535,Critique,Normal,Faible,2025-02-26,FBR
Instrument,IF+AE,45.9,0.7633940634449896,0.0022551732741025433,Critique,Normal,Faible,2025-04-07,SNA
Instrument,IF+AE,45.9,0.7607902523545159,0.008923160865783045,Critique,Faible,Faible,2025-05-09,DHO
Instrument,IF+AE,45.9,0.7631276508978151,0.003047610488065441,Critique,Normal,Faible,2025-08-05,FBR
Instrument,IF+AE,45.9,0.7635714437935968,0.0027887312013438,Critique,Normal,Faible,2025-08-04,MDP
Instrument,IF+AE,45.8,0.7163203740299293,0.10867063208437112,Critique,Critique,Faible,2025-08-04,IBC
Instrument,IF+AE,45.8,0.7262312895414191,0.08771272357196408,Critique,Critique,Faible,2025-02-06,MOX
Instrument,IF+AE,45.8,0.7368426887710259,0.06341491591254304,Critique,Critique,Faible,2025-06-24,INV
Instrument,IF+AE,45.8,0.7116284518891329,0.1216234813245067,Critique,Critique,Faible,2025-07-25,VCN
Instrument,IF+AE,45.8,0.7613912614204019,0.00518650961909746,Critique,Faible,Faible,2025-03-13,FBR
Instrument,IF+AE,45.7,0.7602764758137188,0.005008654287259756,Critique,Faible,Faible,2025-08-13,COL
Instrument,IF+AE,45.7,0.7601358929291191,0.0025836589662444876,Critique,Normal,Faible,2025-03-18,STR
Instrument,IF+AE,45.7,0.7561133347501183,0.012601721296377714,Critique,Modéré,Faible,2025-08-01,SNA
Instrument,IF+AE,45.6,0.7576975445404025,0.0036374184112976213,Critique,Faible,Faible,2025-03-21,FBR
Instrument,IF+AE,45.6,0.750603477607612,0.023777729025695207,Critique,Critique,Faible,2025-08-27,SNA
Instrument,IF+AE,45.4,0.75494712645472,0.005704419403375664,Critique,Faible,Faible,2025-08-12,COL
